,route_prediction,perf_prediction,diff_altitude,geo_distance,userid,workoutid,heart_rate_avg,speed_avg,elapsed_time
21979,0,1,-0.153183206916,-0.0784241706133,9232852,214697759,148.728000000000000000,9.677369466400000000,3205
21980,0,2,-0.0693738907576,-0.0616478100419,3085942,256793048,150.696000000000000000,12.440652787000000000,3133
21981,0,1,-0.168824449182,-0.20555986464,12202944,269104718,134.554000000000000000,8.011905225800000000,1721
21982,0,2,-0.0780043229461,-0.0400768853724,4264744,277407576,156.982000000000000000,11.783745797800000000,3059
21983,0,2,-0.0522719584405,-0.0746607854962,7228559,278721930,170.362000000000000000,10.982742095300000000,3284
21984,0,0,-0.180933788419,-0.274593859911,2834824,280321227,0E-18,11.699712736600000000,1979
21985,0,2,-0.0901136770844,-0.10221375525,2255761,283690490,161.000000000000000000,12.249402914100000000,1919
21986,0,1,-0.158228769898,-0.132301971316,12913419,291210937,130.000000000000000000,9.803806735000000000,2731
21987,0,2,-0.0850681141019,-0.0351670309901,3324472,291940396,155.106000000000000000,16.204392376900000000,2499
21988,0,1,-0.104745805264,-0.148276790977,1816756,292345882,136.000000000000000000,6.935753024700000000,3727
21989,0,2,-0.180933788419,0.0328164659441,14244423,294443216,139.000000000000000000,12.716959703000000000,3570
21990,0,2,-0.180933788419,-0.274593859911,80466,296246749,150.000000000000000000,12.821368948200000000,3593
21991,0,1,-0.155705988407,-0.171329081059,2060912,301584205,153.775000000000000000,9.846826419700000000,1830
21992,0,1,-0.0378468967974,-0.0369980633259,3362051,310342254,154.541000000000000000,9.359437317700000000,4626
21993,0,1,-0.0320897065103,-0.0508305467665,1071275,317680464,146.000000000000000000,9.878484566200000000,3908
21994,0,0,-0.180933788419,-0.132138460875,1818822,321424241,0E-18,9.521975094500000000,2903
21995,0,1,-0.077499769628,-0.000637786230072,2994297,321541355,150.000000000000000000,9.748620478200000000,5090
21996,0,2,-0.135019183159,-0.135309204459,2596923,322809600,148.364000000000000000,11.474210966500000000,1999
21997,0,2,-0.0401626080275,-0.00480822520331,114073,323550199,171.259000000000000000,13.893438291900000000,3299
21998,0,2,-0.143596634269,-0.14014005661,3411439,330594125,130.315000000000000000,12.888167922300000000,1489
21999,0,1,-0.180933788419,-0.109477303922,6883061,331697105,96.000000000000000000,4.995324379400000000,6455
22000,0,2,-0.148137643933,0.0555159747601,1820027,337639757,151.325000000000000000,11.334621341900000000,4225
22001,0,2,-0.127450838685,0.0145119642839,3709276,355207924,145.415000000000000000,11.424268267500000000,3731
22002,0,1,-0.112314149737,-0.133636027575,8222584,360258803,145.000000000000000000,9.763966725500000000,2578
22003,0,2,-0.180933788419,-0.274593859911,7967148,364057855,155.000000000000000000,11.763788147200000000,1975
22004,0,2,-0.111305035651,0.0465164706111,11258520,368487084,146.000000000000000000,10.920089659900000000,3790
22005,0,0,-0.180933788419,-0.0352026261389,1295505,383361448,0E-18,14.268312503800000000,2403
22006,0,1,-0.0936455652118,-0.177668556571,12635957,389084618,160.038000000000000000,9.042199908100000000,2004
22007,0,1,-0.147380799055,-0.0947151184082,5273972,394463084,153.000000000000000000,7.804389736600000000,4213
22008,0,0,-0.180933788419,0.100221574306,7967148,418627776,0E-18,16.842799014500000000,3224
22009,0,1,-0.180933788419,-0.274593859911,6069440,429317500,141.000000000000000000,0E-18,3781
22010,0,2,-0.180933788419,0.106422699988,9008533,431586653,151.000000000000000000,11.292738787800000000,7521
22011,0,1,-0.180933788419,0.0965676084161,68009,433239252,124.000000000000000000,10.051106177400000000,7165
22012,0,1,-0.180933788419,0.0436826385558,2155614,435944927,138.000000000000000000,7.708790426000000000,7429
22013,0,1,-0.16481423378,-0.140457808971,5486878,436460454,137.000000000000000000,8.632683717000000000,2694
22014,0,0,-0.180933788419,-0.0395614020526,9959962,446191926,0E-18,12.187089884100000000,3940
22015,0,2,-0.140064746141,-0.0184053145349,10841339,460741849,157.000000000000000000,13.808044914000000000,2624
22016,0,0,-0.180933788419,-0.274593859911,3276737,476832847,0E-18,11.735477325100000000,4394
22017,0,2,-0.151669532061,0.0279113631696,14255438,488410470,163.000000000000000000,10.094136946200000000,7104
22018,0,2,-0.0947808176279,-0.0224049184471,1413935,507682448,147.109000000000000000,11.635416073000000000,3182
22019,0,1,-0.180933788419,0.0951344445348,5453063,508560591,148.000000000000000000,9.579030977000000000,6115
22020,0,1,-0.134010061622,-0.124898068607,4938238,510830886,157.000000000000000000,9.054819061300000000,2791
22021,0,1,-0.180933788419,0.000376154464902,14671923,531229792,132.000000000000000000,10.172583629900000000,7469
22022,0,0,-0.13451461494,-0.0155999427661,2748745,539513145,0E-18,11.152427295800000000,3130
22023,0,1,-0.0729587599635,0.0243114940822,10028940,547545177,137.000000000000000000,9.750886738800000000,6455
22024,0,1,-0.150584742427,-0.0165468975902,2717503,558860181,158.000000000000000000,8.499502180900000000,4414
22025,0,2,-0.0648858621716,-0.0853695049882,3808,563503166,135.968000000000000000,10.929346733700000000,2446
22026,0,2,-0.0219985842705,-0.124336786568,777141,564733775,136.602000000000000000,11.817652121400000000,2037
22027,0,2,-0.0805271044374,0.057463131845,2145516,574677285,165.572000000000000000,10.831779619200000000,4066
22028,0,0,-0.180933788419,0.0625233799219,2831390,586000478,0E-18,10.504578069700000000,4154
22029,0,2,-0.0865817815065,-0.089366927743,7178673,589268453,185.000000000000000000,10.360570637700000000,2294
22030,0,0,-0.129973620176,-0.212317094207,7967148,606884366,0E-18,10.661815582300000000,1016
22031,0,0,-0.0537856258452,-0.0197654291987,2164708,609862260,0E-18,12.354515787000000000,2921
22032,0,2,-0.149651303887,-0.0788367465138,6601602,619387048,120.000000000000000000,10.500466793800000000,3444
22033,0,2,-0.0790134370327,-0.0213288925588,1009668,624020813,129.000000000000000000,10.994522045800000000,3753
22034,0,2,-0.0830498859286,-0.0118066286668,1377236,645545077,163.000000000000000000,13.430276936500000000,3511
22035,0,1,-0.158733323216,-0.023287659511,4006330,649370730,107.000000000000000000,9.560313888500000000,4394
22036,0,0,-0.132978051901,0.0251249615103,1732973,650144615,70.000000000000000000,8.979012781800000000,6892
22037,0,2,-0.123941138387,-0.00567032862455,1520156,20794781,152.000000000000000000,10.976982880900000000,3940
22038,0,0,-0.0901136770844,0.0348453745246,2075149,26069651,0E-18,10.875342250900000000,4826
