index,workoutid,route_prediction,perf_prediction,userid,diff_altitude,geo_distance,heart_rate_avg,speed_avg,elapsed_time,user_avg_speed,user_avg_dist
702,338246742,1,2,195134,-0.0116136567667,-0.360364854336,136.000000000000000000,10.821443222200000000,2496,10.8214432222000000000000,-0.360364854336
703,117342253,1,2,2282039,-0.0636122226715,-0.199210911989,178.666000000000000000,14.517124907900000000,1894,14.5171249079000000000000,-0.199210911989
704,551548545,1,0,1655221,-0.123039156199,-0.22189091146,0E-18,8.591127604500000000,3356,9.4916513255000000000000,-0.222144454718
705,231281915,1,0,1655221,-0.177266225219,-0.222893089056,159.433000000000000000,10.047335111400000000,3588,9.4916513255000000000000,-0.222144454718
706,625459718,1,0,1655221,-0.121553480625,-0.221649363637,140.000000000000000000,9.836491260600000000,2982,9.4916513255000000000000,-0.222144454718
707,350695662,1,0,4321971,0.251350522041,-0.340868085623,150.296000000000000000,9.406102335900000000,3361,9.4061023359000000000000,-0.340868085623
708,265647000,1,2,2887587,-0.00789947342128,-0.367400705814,148.480000000000000000,13.429240091400000000,4074,13.4292400914000000000000,-0.367400705814
709,342306866,1,0,8294504,-0.0220133699477,-0.223146677017,152.691000000000000000,8.695897430700000000,3467,8.8289805749500000000000,-0.253707140684
710,576655400,1,0,8294504,-0.102982565761,-0.284267604351,141.000000000000000000,8.962063719200000000,3094,8.8289805749500000000000,-0.253707140684
711,634977055,1,0,1055977,-0.0740119367838,-0.363919079304,143.000000000000000000,8.923744427900000000,2842,8.9237444279000000000000,-0.363919079304
712,609305509,1,2,1377236,0.0277566853911,-0.211231082678,160.000000000000000000,13.060597834900000000,3505,12.2351239072666666666667,-0.218184880912
713,409193672,1,2,1377236,-0.212179556489,-0.159971088171,167.000000000000000000,12.859538175000000000,3000,12.2351239072666666666667,-0.218184880912
714,424157314,1,2,1377236,-0.212179556489,-0.179030179977,148.000000000000000000,12.445244798300000000,3025,12.2351239072666666666667,-0.218184880912
715,401373035,1,2,1377236,-0.0460812784731,-0.16601665318,164.000000000000000000,12.163646000400000000,2999,12.2351239072666666666667,-0.218184880912
716,401373693,1,2,1377236,-0.0699634775519,-0.274691283703,158.000000000000000000,11.108370466900000000,2919,12.2351239072666666666667,-0.218184880912
717,429772573,1,2,1377236,-0.212179556489,-0.318168997765,145.000000000000000000,11.773346168100000000,2708,12.2351239072666666666667,-0.218184880912
718,432851821,1,0,1732973,-0.212179556489,-0.337945520878,127.000000000000000000,8.351716308200000000,4412,8.7000672862700000000000,-0.351378209889
719,280205900,1,0,1732973,-0.0140162138268,-0.354559004307,161.860000000000000000,8.403415031700000000,4294,8.7000672862700000000000,-0.351378209889
720,445629258,1,0,1732973,-0.212179556489,-0.421412497759,132.000000000000000000,9.068052874100000000,3648,8.7000672862700000000000,-0.351378209889
