max_elapsed_time,sum_geo_distance,workoutid,avg_heart_rate,avg_speed,diff_altitude,userid,prediction,new_avg_speed,new_avg_dist
91.0,0.006760338300000001,23074828,155.58333333333334,10.114875000000001,17.0,1818822,3,10.114875000000001,0.006760338300000001
998.0,0.018158401999999997,600852899,159.26190476190476,13.433142857142858,-50.39999999999999,3191096,5,13.433142857142858,0.018158401999999997
854.0,0.012862731799999999,223888686,169.44827586206895,13.598689655172416,43.799999999999955,3743021,5,13.598689655172416,0.012862731799999999
