max_elapsed_time,sum_geo_distance,workoutid,avg_heart_rate,avg_speed,diff_altitude,userid,prediction,new_avg_speed,new_avg_dist
1.0,3.3211E-6,591342025,78.0,0.828,-66.6,4572860,0,5.840999999999999,5.31514E-5
1104.0,1.029817E-4,634753928,123.0,10.854,0.8000000000000114,4572860,0,5.840999999999999,5.31514E-5
954.0,0.043932086200000005,631503257,166.87074829931973,10.41191020408163,15.6,4057523,5,10.41191020408163,0.043932086200000005
