name,max_elapsed_time,sum_geo_distance,avg_heart_rate,avg_speed,diff_altitude,count
0,208.666666667,0.00706800807083,111.386828225,9.07920794538,4.10833333333,24
2,150.157894737,0.00354050214211,134.079171284,10.3659302442,-6.32631578947,19
3,418.851851852,0.00470285945556,145.036242499,10.8549311976,6.62222222222,27
4,422.04,0.014430503424,132.763870731,12.5998623037,24.936,25
5,978.178571429,0.012965297725,156.268486251,11.2457261439,6.26428571429,28
6,444.583333333,0.01098483675,179.928034812,12.2509075448,16.55,12
7,824.727272727,0.0903645539545,159.014163336,12.0937448316,15.0,11
8,4655.81818182,0.00815348627273,154.958858215,9.546503391,20.2,11
