,index,path,mae,r2,rmse
47,Route3_Perf2_rfr,/home/ubuntu/Regression_5th_Iteration/Route3_Perf2_rfr,1014.28540615,0.359881108849,1340.02539145
48,Route4_Perf0_dt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf0_dt,495.914564309,0.476835947917,683.540045479
49,Route4_Perf0_gbt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf0_gbt,400.129208984,0.626682534239,577.409825826
50,Route4_Perf0_lr,/home/ubuntu/Regression_5th_Iteration/Route4_Perf0_lr,507.793107827,0.455267396459,697.487936065
51,Route4_Perf0_rfr,/home/ubuntu/Regression_5th_Iteration/Route4_Perf0_rfr,494.134979587,0.480622213661,681.062080983
52,Route4_Perf1_dt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf1_dt,479.574946452,0.538839203987,637.619521438
53,Route4_Perf1_gbt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf1_gbt,363.127018309,0.70657167573,508.611799862
54,Route4_Perf1_lr,/home/ubuntu/Regression_5th_Iteration/Route4_Perf1_lr,492.244328895,0.516725489513,652.728175474
55,Route4_Perf1_rfr,/home/ubuntu/Regression_5th_Iteration/Route4_Perf1_rfr,478.462967368,0.543663348508,634.275725273
56,Route4_Perf2_dt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf2_dt,366.64076906,0.658828460828,490.756506778
57,Route4_Perf2_gbt,/home/ubuntu/Regression_5th_Iteration/Route4_Perf2_gbt,248.002718723,0.835713008852,340.550291971
58,Route4_Perf2_lr,/home/ubuntu/Regression_5th_Iteration/Route4_Perf2_lr,381.502855177,0.627931745921,512.496586692
59,Route4_Perf2_rfr,/home/ubuntu/Regression_5th_Iteration/Route4_Perf2_rfr,355.862394987,0.677158929402,477.390814538
