,route,perf,dt,gbt,lr,rfr,label
0,0,0,4354.36585366,4209.29021569,3980.17532946,4337.07587444,4844.59
1,0,1,4362.79615385,4235.36348101,3889.33214806,4157.74448082,4844.59
2,0,2,4264.91101695,4287.82338083,4219.45570782,4307.5369603,4844.59
